Title	Category	Data Range	Location	Link	Description	Hotel Information
SAE Powertrains, Fuels & Lubricants Conference & Exhibition	Automotive	September 6-8, 2022	Krakow, Poland	https://www.sae.org/attend/pfl	"Expertise. Exploration. Excitement.
Connect with the entire industry for valuable exchange of ideas. 
Understanding powertrain performance goes beyond just knowing about new and emerging technologies. It’s about personal experiences with applications. That’s what you’ll find at the SAE 2022 Powertrains, Fuels & Lubricants Conference & Exhibition (PF&L). This is where OEMs, suppliers, researchers, engineers, government officials, academia, and others from around the world come together to discuss how current technologies are being implemented to reduce emissions, boost fuel economy, and enhance performance in various mobility scenarios. 
For 80 years, PF&L has been the industry’s trusted event—and as we return in person for the first time in two years, it’s your opportunity to meet face-to-face for important discussions and networking. Join us September 6-8 at the ICE Krakow Congress Center in Poland."	[['Park Inn by Radisson', 'Monte Cassino 2\n30-337 Krakow\n100 meters from entrance of event conference center', 'https://goo.gl/maps/KBLTSFRdzKYpPAsG7'], ['Q Hotel Plus\xa0Kraków', 'Wygrana 6\n30-133 Krakow\n50 meters from entrance of event conference center', 'https://goo.gl/maps/M1ejPzppi35LBPrf9']]
Hybrid And EV Symposium, An SAE Sustainability Event	Automotive	September 13-15, 2022	Garden Grove, California, USA	https://www.sae.org/attend/hybrid	"Driving the Future of Hybrid and Electric Vehicle Innovation
Be part of the nation's premiere event for hybrid and electric vehicle technology.
This is a critical moment for the electric vehicle (EV) industry. Awareness of the need for clean energy sources has never been higher, more OEMs are planning to eliminate the production of the internal combustion engine, and EV adoption rates are growing fast. The Hybrid and EV Technologies Symposium, an SAE Sustainability Event, brings key players together for the vital conversations that fuel this momentum, at a time when industry-wide collaboration is essential for continued progress.
Now in its 18th year (and held for the first time since 2020), this event provides an unparalleled opportunity to reconnect as a professional community and technical issues and solutions, recent advancements, and so much more. Join your colleagues in the nation’s hub of vehicle engineering development and help move EV technology forward."	[['Hyatt Regency Orange County', '11999 Harbor Blvd\nGarden Grove, CA 92840', None]]
SAE On-Board Diagnostics Symposium	Automotive	September 13-15, 2022	Garden Grove, California, USA	https://www.sae.org/attend/obd-na	"Together Again After 3 Years!
Join Us In-Person
With a reputation as the industry’s go-to resource for more than 30 years, only the SAE On-Board Diagnostics Symposium gives you access to trusted information on the latest regulatory happenings and critical industry topics.
Held twice annually, the On-Board Diagnostics Symposia rotates between North America and Europe.  
Our 2022 Americas event will be held in-person, allowing attendees to reconnect with forward-thinking engineers, executives, OEMs, suppliers, regulators, and government to address the ongoing need for technical and regulatory updates.
This event is your opportunity to get answers to your most challenging OBD questions. The knowledge gained here will keep you up to speed with the latest regulations and how to work towards them. The important conversations had here potentially impact future standards and regulations.
Event Venue
Hyatt Regency Orange County
11999 Harbor Boulevard
Garden Grove, CA 92840"	[['Hyatt Regency Orange County', '11999 Harbor Blvd\nGarden Grove, CA 92840', None], [None, 'SAE International and our housing partners do not solicit hotel room reservations via telephone, email, or fax. Any claims by any company stating otherwise are not true. Please be sure you are booking directly through the links on this page or directly with a specific property.', None]]
COMVEC™	Commercial	September 20-22, 2022	Indianapolis, Indiana, USA	https://www.sae.org/attend/comvec	"Transform the Future of Innovation
COMVEC 2022 Returns to Indianapolis!
As the only North American forum that addresses vehicles and equipment spanning the on-highway, off-highway, agricultural, construction, industrial, military and mining sectors, COMVEC™ is powering future innovation through reducing CO2 emissions and improving vehicle efficiencies. There, you’ll discover the latest advancements in internal combustion engines, autonomous vehicles, new powertrain options and more — and connect with engineering professionals to network, hear keynotes and participate in panel discussions on the most important topics impacting the industry.
COMVEC 2022 returns in person, allowing attendees to reconnect with industry leaders, academics and government experts in Indianapolis to hear what others are doing to overcome supply chain challenges and drive the latest innovations in commercial vehicle technology. 
View Brochure"	[['JW Marriott Indianapolis', '10 S West St.\nIndianapolis, IN 46204', None]]
SAE 2022 Intelligent And Connected Vehicles Symposium	Automotive	September 22-23, 2022	Shanghai, China	https://www.bagevent.com/event/sae2022-icvs-en	"Transform the Future of Innovation
COMVEC 2022 Returns to Indianapolis!
As the only North American forum that addresses vehicles and equipment spanning the on-highway, off-highway, agricultural, construction, industrial, military and mining sectors, COMVEC™ is powering future innovation through reducing CO2 emissions and improving vehicle efficiencies. There, you’ll discover the latest advancements in internal combustion engines, autonomous vehicles, new powertrain options and more — and connect with engineering professionals to network, hear keynotes and participate in panel discussions on the most important topics impacting the industry.
COMVEC 2022 returns in person, allowing attendees to reconnect with industry leaders, academics and government experts in Indianapolis to hear what others are doing to overcome supply chain challenges and drive the latest innovations in commercial vehicle technology. 
View Brochure"	[['JW Marriott Indianapolis', '10 S West St.\nIndianapolis, IN 46204', None]]
Brake Colloquium & Exhibition - 40th Annual	Automotive	September 25-28, 2022	Grand Rapids, Michigan, USA	https://www.sae.org/attend/brake	"Leading the industry for 40 years, the SAE Brake Colloquium & Exhibition (BRAKE) has been the forum for industry experts to learn about advancements in brake systems and friction materials in North America. BRAKE offers networking opportunities for individuals to come together and make first-hand connections with leaders in the brake community, all while exploring the science and technology of brakes. Join us for this 3.5-day event that covers the newest developments in brake materials, components, systems, testing, modeling and aftermarket solutions for the light, medium duty and commercial vehicle segments.
Benefits of attending:


Make connections with experts in the brake community that could not be met by being in the office or on the shop floor.
Hear new strategies and technologies that will meet government regulations regarding changes in the braking industry.
Network with brake experts from the entire supply chain community from OEMs and tier suppliers through part manufacturers and material developers.




Gain information on the latest innovations such as brake friction materials, noise, vibration & harshness light weighting and performance.
Spend time exploring the latest braking innovations in the exhibit hall.


Event-at-a-Glance"	[['Amway Grand Plaza Hotel', '187 Monroe Avenue NW\nGrand Rapids, MI 15096', None]]
Urban Ground Mobility Digital Summit	Automotive	October 4-5, 2022	Online, Pennsylvania, USA	https://www.sae.org/attend/urban-ground-mobility/	"The Future of Mobility in Urban Communities
Register for the FREE Urban Ground Mobility Event
As fuel and automotive costs rise, how will the growth of micro-mobility and the urban ground mobility industry be impacted? Are consumers likely to move toward UGM over their cars? And how can we keep up with the latest innovations entering the market while having the infrastructure, regulations and policies in place to implement them?
Whether it’s for public transporation, bike and scooter shares – even robotic package delivery – the second annual Urban Ground Mobility (UGM) Digital Summit answers these questions. The FREE two-day online event brings together executives, engineers and other high-level technical staff, urban planners, consumer advocates and government officials to learn about the latest challenges, regulations, technology and news from leading mobility organizations and governmental staff. 
Join us at UGM October 4-5 to keep pace with the needs of tomorrow’s urban communities – and discover long-term strategies for success in urban ground mobility."	[]
SAE Thermal Management Systems Symposium	Automotive	October 4-5, 2022	Plymouth, Michigan, USA	https://www.sae.org/attend/thermal	"Advanced Analysis of Technology, Best Practices and the Impacts of Regulation in Thermal Management
Join us as our 2022 Thermal Management Systems Symposium (TMSS) returns as an in-person event in Plymouth, MI. We are excited to safely provide a face-to-face forum for engineers, executives, OEMs, and academia to communicate needs, research, development activities, and solutions.

TMSS explores ways to reduce engine emissions, conserve energy, reduce noise, improve the cabin environment and increase the overall vehicle performance in the passenger and commercial vehicle industries. In 2022, TMSS expands with exciting new content areas that will address real-world thermal management strategies for hybrid, autonomous and commercial vehicles. TMSS will also explore vehicle climate control challenges and solutions on a global scale."	[['The Inn at St. Johns', '44045 Five Mile Road\nPlymouth, MI 48170', None]]
SAE MobilityForward Challenge: Artificial Intelligence Mini-Challenge	Automotive	October 26-27, 2022	Online, Pennsylvania, USA			
European Electric Vehicle Charging Infrastructure Conference, An SAE Sustainability Event	Automotive	November 9-10, 2022	Online, Pennsylvania, USA	https://www.sae.org/attend/europe-electric-vehicle-charging-infrastructure-conference		[]
